"filename", "language", "JSON with Comments", "JavaScript", "JSON", "TypeScript", "TypeScript JSX", "CSS", "XML", "Markdown", "HTML", "MS SQL", "comment", "blank", "total"
"c:\Users\omnora\OneDrive\Desktop\new system\package-lock.json", "JSON", 0, 0, 7450, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7451
"c:\Users\omnora\OneDrive\Desktop\new system\package.json", "JSON", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\omnora\OneDrive\Desktop\new system\supabase\migrations\01_init_schema.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 152, 12, 19, 183
"c:\Users\omnora\OneDrive\Desktop\new system\textile-admin\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 60, 0, 0, 0, 14, 74
"c:\Users\omnora\OneDrive\Desktop\new system\textile-admin\eslint.config.js", "JavaScript", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 24
"c:\Users\omnora\OneDrive\Desktop\new system\textile-admin\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 1, 14
"c:\Users\omnora\OneDrive\Desktop\new system\textile-admin\package-lock.json", "JSON", 0, 0, 3932, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3933
"c:\Users\omnora\OneDrive\Desktop\new system\textile-admin\package.json", "JSON", 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 1, 45
"c:\Users\omnora\OneDrive\Desktop\new system\textile-admin\postcss.config.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\omnora\OneDrive\Desktop\new system\textile-admin\public\favicon.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\omnora\OneDrive\Desktop\new system\textile-admin\public\icons.svg", "XML", 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 1, 25
"c:\Users\omnora\OneDrive\Desktop\new system\textile-admin\src\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 94, 0, 0, 0, 0, 0, 1, 15, 110
"c:\Users\omnora\OneDrive\Desktop\new system\textile-admin\src\assets\react.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\omnora\OneDrive\Desktop\new system\textile-admin\src\assets\vite.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"c:\Users\omnora\OneDrive\Desktop\new system\textile-admin\src\components\admin\BatchVaultControl.tsx", "TypeScript JSX", 0, 0, 0, 0, 363, 0, 0, 0, 0, 0, 12, 25, 400
"c:\Users\omnora\OneDrive\Desktop\new system\textile-admin\src\components\admin\BillingDashboard.tsx", "TypeScript JSX", 0, 0, 0, 0, 190, 0, 0, 0, 0, 0, 5, 14, 209
"c:\Users\omnora\OneDrive\Desktop\new system\textile-admin\src\components\admin\CreateJobOrder.tsx", "TypeScript JSX", 0, 0, 0, 0, 154, 0, 0, 0, 0, 0, 3, 19, 176
"c:\Users\omnora\OneDrive\Desktop\new system\textile-admin\src\components\admin\JobOrderManager.tsx", "TypeScript JSX", 0, 0, 0, 0, 230, 0, 0, 0, 0, 0, 1, 21, 252
"c:\Users\omnora\OneDrive\Desktop\new system\textile-admin\src\components\admin\KarigarChalanPrint.tsx", "TypeScript JSX", 0, 0, 0, 0, 133, 0, 0, 0, 0, 0, 8, 11, 152
"c:\Users\omnora\OneDrive\Desktop\new system\textile-admin\src\components\admin\KhataModule.tsx", "TypeScript JSX", 0, 0, 0, 0, 232, 0, 0, 0, 0, 0, 5, 18, 255
