"filename", "language", "TypeScript JSX", "JavaScript", "TypeScript", "CSS", "JSON", "HTML", "comment", "blank", "total"
"c:\Users\omnora\OneDrive\Desktop\new system\textile-admin\index.html", "HTML", 0, 0, 0, 0, 0, 3, 0, 0, 3
"c:\Users\omnora\OneDrive\Desktop\new system\textile-admin\package-lock.json", "JSON", 0, 0, 0, 0, 16, 0, 0, 0, 16
"c:\Users\omnora\OneDrive\Desktop\new system\textile-admin\package.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\omnora\OneDrive\Desktop\new system\textile-admin\src\App.tsx", "TypeScript JSX", 15, 0, 0, 0, 0, 0, 0, 3, 18
"c:\Users\omnora\OneDrive\Desktop\new system\textile-admin\src\components\admin\ArticleMaster.tsx", "TypeScript JSX", 384, 0, 0, 0, 0, 0, 6, 47, 437
"c:\Users\omnora\OneDrive\Desktop\new system\textile-admin\src\components\admin\BatchVaultControl.tsx", "TypeScript JSX", -78, 0, 0, 0, 0, 0, -1, 4, -75
"c:\Users\omnora\OneDrive\Desktop\new system\textile-admin\src\components\admin\ConsumptionMatrix.tsx", "TypeScript JSX", 259, 0, 0, 0, 0, 0, 12, 27, 298
"c:\Users\omnora\OneDrive\Desktop\new system\textile-admin\src\components\admin\JobOrderManager.tsx", "TypeScript JSX", 2, 0, 0, 0, 0, 0, 0, 0, 2
"c:\Users\omnora\OneDrive\Desktop\new system\textile-admin\src\components\admin\KhataModule.tsx", "TypeScript JSX", 181, 0, 0, 0, 0, 0, 2, 11, 194
"c:\Users\omnora\OneDrive\Desktop\new system\textile-admin\src\components\admin\SystemConfigurator.tsx", "TypeScript JSX", -8, 0, 0, 0, 0, 0, -1, 0, -9
"c:\Users\omnora\OneDrive\Desktop\new system\textile-admin\src\components\auth\LegacyLogin.tsx", "TypeScript JSX", 105, 0, 0, 0, 0, 0, 2, 14, 121
"c:\Users\omnora\OneDrive\Desktop\new system\textile-admin\src\components\devices\TacticalGatekeeper.tsx", "TypeScript JSX", 240, 0, 0, 0, 0, 0, 6, 22, 268
"c:\Users\omnora\OneDrive\Desktop\new system\textile-admin\src\components\layout\DashboardLayout.tsx", "TypeScript JSX", 73, 0, 0, 0, 0, 0, 1, 4, 78
"c:\Users\omnora\OneDrive\Desktop\new system\textile-admin\src\components\messaging\TacticalMessenger.tsx", "TypeScript JSX", 194, 0, 0, 0, 0, 0, 7, 21, 222
"c:\Users\omnora\OneDrive\Desktop\new system\textile-admin\src\index.css", "CSS", 0, 0, 0, 5, 0, 0, 0, 0, 5
"c:\Users\omnora\OneDrive\Desktop\new system\textile-admin\src\services\IndustrialCalculationService.test.ts", "TypeScript", 0, 0, 60, 0, 0, 0, -14, 15, 61
"c:\Users\omnora\OneDrive\Desktop\new system\textile-admin\src\services\IndustrialCalculationService.ts", "TypeScript", 0, 0, 72, 0, 0, 0, 0, 7, 79
"c:\Users\omnora\OneDrive\Desktop\new system\textile-admin\src\types\database.ts", "TypeScript", 0, 0, 28, 0, 0, 0, 2, 3, 33
"c:\Users\omnora\OneDrive\Desktop\new system\textile-admin\tailwind.config.js", "JavaScript", 0, 11, 0, 0, 0, 0, 0, 0, 11
"c:\Users\omnora\OneDrive\Desktop\new system\textile-mobile\App.tsx", "TypeScript JSX", 9, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\omnora\OneDrive\Desktop\new system\textile-mobile\src\hooks\useKillSwitch.ts", "TypeScript", 0, 0, 29, 0, 0, 0, 1, 8, 38
"c:\Users\omnora\OneDrive\Desktop\new system\textile-mobile\src\hooks\useScanner.ts", "TypeScript", 0, 0, 16, 0, 0, 0, 1, 3, 20
"c:\Users\omnora\OneDrive\Desktop\new system\textile-mobile\src\lib\protocols.ts", "TypeScript", 0, 0, 2, 0, 0, 0, 1, 1, 4
"c:\Users\omnora\OneDrive\Desktop\new system\textile-mobile\src\lib\types.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\omnora\OneDrive\Desktop\new system\textile-mobile\src\screens\ExecutiveDashboard.tsx", "TypeScript JSX", 46, 0, 0, 0, 0, 0, 1, 1, 48
"c:\Users\omnora\OneDrive\Desktop\new system\textile-mobile\src\screens\QRScannerScreen.tsx", "TypeScript JSX", 7, 0, 0, 0, 0, 0, 0, 0, 7
"c:\Users\omnora\OneDrive\Desktop\new system\textile-mobile\src\screens\TacticalChatScreen.tsx", "TypeScript JSX", 241, 0, 0, 0, 0, 0, 4, 20, 265
"Total", "-", 1670, 11, 208, 5, 17, 3, 30, 212, 2156
