"filename", "language", "TypeScript", "TypeScript JSX", "CSS", "comment", "blank", "total"
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\(onboarding)\setup\page.tsx", "TypeScript JSX", 0, 120, 0, 0, 7, 127
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\audit\[sessionId]\page.tsx", "TypeScript JSX", 0, -91, 0, 2, -6, -95
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\audit\page.tsx", "TypeScript JSX", 0, 97, 0, 1, 9, 107
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\file-morph\page.tsx", "TypeScript JSX", 0, 162, 0, 2, 17, 181
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\globals.css", "CSS", 0, 0, 33, 0, 3, 36
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\settings\page.tsx", "TypeScript JSX", 0, 119, 0, 0, 4, 123
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\components\knowledge\AskNoxis.tsx", "TypeScript JSX", 0, -210, 0, -5, -9, -224
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\lib\filemorph\formatConverter.ts", "TypeScript", 33, 0, 0, 0, 5, 38
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\lib\filemorph\pdfTools.ts", "TypeScript", 38, 0, 0, 1, 6, 45
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\lib\knowledge\knowledgeSearch.ts", "TypeScript", 2, 0, 0, 1, 2, 5
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\lib\knowledge\noxis-docs.ts", "TypeScript", 56, 0, 0, -10, -9, 37
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\store\BusinessProfileStore.ts", "TypeScript", 4, 0, 0, 0, 0, 4
"Total", "-", 133, 197, 33, -8, 29, 384
