"filename", "language", "JSON with Comments", "TypeScript", "JavaScript", "Markdown", "TypeScript JSX", "MS SQL", "JSON", "XML", "comment", "blank", "total"
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\dist-electron\electron\main.js", "JavaScript", 0, 0, 32, 0, 0, 0, 0, 0, 1, 0, 33
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\dist-electron\electron\preload.js", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\electron\main.ts", "TypeScript", 0, 30, 0, 0, 0, 0, 0, 0, 1, 5, 36
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\electron\preload.ts", "TypeScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\next.config.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 0, 0, 0, 2, 6
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 59, 0, 0, 0, 59
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\package.json", "JSON", 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 2
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\public\sitemap.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 69, 0, 1, 70
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\scratch\check-columns.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 0, 0, 1, 3, 14
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\scratch\check_auth.js", "JavaScript", 0, 0, 24, 0, 0, 0, 0, 0, 1, 5, 30
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\scratch\check_business.js", "JavaScript", 0, 0, 19, 0, 0, 0, 0, 0, 0, 5, 24
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\scratch\check_tables.js", "JavaScript", 0, 0, 18, 0, 0, 0, 0, 0, 0, 5, 23
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\scripts\build-static.mjs", "JavaScript", 0, 0, 58, 0, 0, 0, 0, 0, 4, 11, 73
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\scripts\check-columns-esm.js", "JavaScript", 0, 0, 19, 0, 0, 0, 0, 0, 0, 5, 24
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\scripts\check-columns-rpc.js", "JavaScript", 0, 0, 16, 0, 0, 0, 0, 0, 0, 5, 21
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\scripts\check-columns.js", "JavaScript", 0, 0, 19, 0, 0, 0, 0, 0, 0, 5, 24
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\scripts\clean-env.js", "JavaScript", 0, 0, 24, 0, 0, 0, 0, 0, 7, 5, 36
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\scripts\generate-license.ts", "TypeScript", 0, 100, 0, 0, 0, 0, 0, 0, 3, 11, 114
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\scripts\list-tables.js", "JavaScript", 0, 0, 19, 0, 0, 0, 0, 0, 1, 4, 24
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\scripts\print-env.js", "JavaScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\scripts\test-insert-sku.js", "JavaScript", 0, 0, 66, 0, 0, 0, 0, 0, 1, 13, 80
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\scripts\test-insert-sku.ts", "TypeScript", 0, 66, 0, 0, 0, 0, 0, 0, 1, 13, 80
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\scripts\try-insert-license.js", "JavaScript", 0, 0, 33, 0, 0, 0, 0, 0, 1, 5, 39
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\(onboarding)\license\actions.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 0, 2, 2, 24
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\(onboarding)\license\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 11, 0, 0, 0, 1, 1, 13
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\(onboarding)\setup\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
