"filename", "language", "JSON", "Markdown", "Shell Script", "TypeScript", "TypeScript JSX", "JavaScript", "JSON with Comments", "CSS", "MS SQL", "YAML", "comment", "blank", "total"
"c:\Users\omnora\OneDrive\Desktop\new_system\.github\workflows\deploy-cloudflare.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 70, 5, 13, 88
"c:\Users\omnora\OneDrive\Desktop\new_system\DEPLOY.md", "Markdown", 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 67
"c:\Users\omnora\OneDrive\Desktop\new_system\build.sh", "Shell Script", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 2, 1, 15
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\dist-electron\electron\main.js", "JavaScript", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 3, 0, 23
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\dist-electron\electron\preload.js", "JavaScript", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 0, 5
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\electron\main.ts", "TypeScript", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 3, 3, 23
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\electron\preload.ts", "TypeScript", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 1, 6
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\next.config.ts", "TypeScript", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 4
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\package-lock.json", "JSON", 159, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 159
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\package.json", "JSON", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\scripts\build-static.mjs", "JavaScript", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 6
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\scripts\check-parties-cols.js", "JavaScript", 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 3, 22
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\scripts\test-exec-sql.js", "JavaScript", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 2, 22
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\scripts\test-license.ts", "TypeScript", 0, 0, 0, 79, 0, 0, 0, 0, 0, 0, 0, 14, 93
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app-temp\(auth)\login\page.tsx", "TypeScript JSX", 0, 0, 0, 0, -138, 0, 0, 0, 0, 0, 0, -16, -154
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app-temp\(auth)\signup\page.tsx", "TypeScript JSX", 0, 0, 0, 0, -135, 0, 0, 0, 0, 0, -1, -16, -152
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app-temp\(hub)\clients\portals\PortalManagementClient.tsx", "TypeScript JSX", 0, 0, 0, 0, -282, 0, 0, 0, 0, 0, -5, -20, -307
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app-temp\(hub)\clients\portals\page.tsx", "TypeScript JSX", 0, 0, 0, 0, -41, 0, 0, 0, 0, 0, -3, -9, -53
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app-temp\(hub)\inventory\transfers\inter-branch\page.tsx", "TypeScript JSX", 0, 0, 0, 0, -399, 0, 0, 0, 0, 0, -18, -36, -453
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app-temp\(hub)\settings\branches\page.tsx", "TypeScript JSX", 0, 0, 0, 0, -446, 0, 0, 0, 0, 0, -12, -30, -488
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app-temp\(kitchen)\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, -21, 0, 0, 0, 0, 0, -1, -7, -29
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app-temp\(kitchen)\live\page.tsx", "TypeScript JSX", 0, 0, 0, 0, -152, 0, 0, 0, 0, 0, -1, -14, -167
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app-temp\(logistics)\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, -21, 0, 0, 0, 0, 0, -1, -7, -29
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app-temp\(logistics)\shipments\page.tsx", "TypeScript JSX", 0, 0, 0, 0, -250, 0, 0, 0, 0, 0, -1, -21, -272
