"filename", "language", "JavaScript", "TypeScript", "JSON", "MS SQL", "TypeScript JSX", "comment", "blank", "total"
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\scratch\check-columns-rpc-invoices.js", "JavaScript", 16, 0, 0, 0, 0, 0, 4, 20
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\scratch\check-invoices.js", "JavaScript", 19, 0, 0, 0, 0, 0, 5, 24
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\scratch\check-sqlite-db.js", "JavaScript", 14, 0, 0, 0, 0, 0, 2, 16
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\scratch\find_routes.js", "JavaScript", 29, 0, 0, 0, 0, 2, 7, 38
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\scratch\ping_results.json", "JSON", 0, 0, 862, 0, 0, 0, 0, 862
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\scratch\ping_routes.js", "JavaScript", 83, 0, 0, 0, 0, 1, 6, 90
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\scratch\print-env-keys.js", "JavaScript", 8, 0, 0, 0, 0, 0, 2, 10
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\scratch\search-conn.js", "JavaScript", 31, 0, 0, 0, 0, 0, 3, 34
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\scratch\try-pg-real.js", "JavaScript", 29, 0, 0, 0, 0, 0, 4, 33
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\scratch\try-pg.js", "JavaScript", 24, 0, 0, 0, 0, 0, 4, 28
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\cctv\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 5, 0, 0, 5
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\file-morph\DocumentConverter.tsx", "TypeScript JSX", 0, 0, 0, 0, 7, 0, 0, 7
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\inventory\import\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 10, 0, 3, 13
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\inventory\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 5, 0, 0, 5
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\invoices\[id]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 74, 0, 8, 82
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\invoices\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\karigars\[karigarId]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 155, 5, 11, 171
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\parties\import\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 15, 0, 3, 18
