"filename", "language", "YAML", "TypeScript", "MS SQL", "JavaScript", "HTML", "TypeScript JSX", "CSS", "comment", "blank", "total"
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\(auth)\login\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -138, 0, 0, -16, -154
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\(auth)\signup\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -135, 0, -1, -16, -152
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\(hub)\clients\portals\PortalManagementClient.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -282, 0, -5, -20, -307
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\(hub)\clients\portals\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -41, 0, -3, -9, -53
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\(hub)\inventory\transfers\inter-branch\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -399, 0, -18, -36, -453
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\(hub)\settings\branches\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -446, 0, -12, -30, -488
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\(kitchen)\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -21, 0, -1, -7, -29
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\(kitchen)\live\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -152, 0, -1, -14, -167
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\(logistics)\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -21, 0, -1, -7, -29
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\(logistics)\shipments\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -250, 0, -1, -21, -272
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\(medical)\cold-chain\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -159, 0, -2, -18, -179
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\(medical)\expiry\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -234, 0, -1, -20, -255
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\(medical)\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -21, 0, -1, -7, -29
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\(onboarding)\license\actions.ts", "TypeScript", 0, -67, 0, 0, 0, 0, 0, -4, -9, -80
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\(onboarding)\license\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -311, 0, -23, -29, -363
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\(onboarding)\setup\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -761, 0, -4, -60, -825
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\admin\payments\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -209, 0, -8, -22, -239
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\admin\signals\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -186, 0, -7, -22, -215
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\analytics\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -342, 0, -16, -31, -389
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\api\cron\daily-summary\route.ts", "TypeScript", 0, -47, 0, 0, 0, 0, 0, -5, -13, -65
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\api\cron\recurring-invoices\route.ts", "TypeScript", 0, -108, 0, 0, 0, 0, 0, -9, -22, -139
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\api\diagnostics\route.ts", "TypeScript", 0, -62, 0, 0, 0, 0, 0, -5, -10, -77
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\api\download\route.ts", "TypeScript", 0, -40, 0, 0, 0, 0, 0, -5, -13, -58
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\api\heartbeat\route.ts", "TypeScript", 0, -18, 0, 0, 0, 0, 0, 0, -5, -23
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\api\hub\devices\route.ts", "TypeScript", 0, -13, 0, 0, 0, 0, 0, 0, -3, -16
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\api\hub\info\route.ts", "TypeScript", 0, -26, 0, 0, 0, 0, 0, 0, -5, -31
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\api\internal\backup\route.ts", "TypeScript", 0, -139, 0, 0, 0, 0, 0, -4, -26, -169
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\api\messaging\events\route.ts", "TypeScript", 0, -29, 0, 0, 0, 0, 0, -1, -8, -38
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\api\messaging\route.ts", "TypeScript", 0, -53, 0, 0, 0, 0, 0, -2, -9, -64
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\api\portal\generate\route.ts", "TypeScript", 0, -39, 0, 0, 0, 0, 0, -5, -11, -55
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\api\portal\verify\route.ts", "TypeScript", 0, -66, 0, 0, 0, 0, 0, -8, -15, -89
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\api\sentinel\recording-complete\route.ts", "TypeScript", 0, -27, 0, 0, 0, 0, 0, 0, -7, -34
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\api\sentinel\recording-started\route.ts", "TypeScript", 0, -27, 0, 0, 0, 0, 0, 0, -7, -34
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\api\settings\route.ts", "TypeScript", 0, -109, 0, 0, 0, 0, 0, 0, -11, -120
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\api\staff\invite\route.ts", "TypeScript", 0, -80, 0, 0, 0, 0, 0, -6, -17, -103
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\api\startup\route.ts", "TypeScript", 0, -20, 0, 0, 0, 0, 0, -1, -5, -26
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\api\stock\[skuId]\route.ts", "TypeScript", 0, -32, 0, 0, 0, 0, 0, -3, -8, -43
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\api\sync\status\route.ts", "TypeScript", 0, -26, 0, 0, 0, 0, 0, -4, -5, -35
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\api\webhooks\easypaisa\route.ts", "TypeScript", 0, -52, 0, 0, 0, 0, 0, -7, -15, -74
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\api\webhooks\jazzcash\route.ts", "TypeScript", 0, -57, 0, 0, 0, 0, 0, -6, -16, -79
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\api\webhooks\stripe\route.ts", "TypeScript", 0, -63, 0, 0, 0, 0, 0, -7, -14, -84
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\artisans\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -4, 0, 0, -2, -6
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\audit\[sessionId]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -296, 0, -13, -33, -342
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\audit\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -434, 0, -7, -38, -479
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\batches\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -4, 0, 0, -2, -6
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\calculators\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -1373, 0, -89, -129, -1591
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\cashflow\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -467, 0, -6, -35, -508
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\cctv\cameras\new\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -278, 0, -3, -23, -304
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\cctv\cameras\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -322, 0, -6, -22, -350
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\cctv\detections\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -147, 0, -3, -9, -159
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\cctv\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -664, 0, -33, -51, -748
