Date : 2026-07-14 00:42:59
Directory : c:\Users\omnora\OneDrive\Desktop\new_system
Total : 742 files,  135696 codes, 4169 comments, 13023 blanks, all 152888 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| TypeScript JSX     |        270 |     69,179 |      1,886 |      6,738 |     77,803 |
| JSON               |         23 |     27,164 |          0 |         29 |     27,193 |
| TypeScript         |        237 |     25,124 |      1,395 |      3,578 |     30,097 |
| MS SQL             |         75 |      5,402 |        583 |        786 |      6,771 |
| Markdown           |         56 |      2,718 |          0 |      1,128 |      3,846 |
| JavaScript         |         33 |      2,080 |        180 |        201 |      2,461 |
| HTML               |          7 |      1,825 |          0 |        150 |      1,975 |
| CSS                |          1 |        955 |          0 |        185 |      1,140 |
| YAML               |          4 |        394 |         43 |         77 |        514 |
| XML                |         16 |        373 |          0 |         24 |        397 |
| Python             |          1 |        166 |         14 |         38 |        218 |
| Gradle             |          6 |        101 |          7 |         22 |        130 |
| Batch              |          3 |         71 |         35 |         32 |        138 |
| JSON with Comments |          2 |         60 |          0 |          3 |         63 |
| Java               |          3 |         37 |          1 |         14 |         52 |
| Shell Script       |          2 |         35 |         10 |          9 |         54 |
| Java Properties    |          2 |          9 |         15 |          7 |         31 |
| pip requirements   |          1 |          3 |          0 |          2 |          5 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                    | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                       |        742 |    135,696 |      4,169 |     13,023 |    152,888 |
| . (Files)                                                                                                                                               |          4 |      1,639 |          2 |         25 |      1,666 |
| .github                                                                                                                                                 |          1 |         70 |          5 |         13 |         88 |
| .github\workflows                                                                                                                                       |          1 |         70 |          5 |         13 |         88 |
| omnora-prime-v13                                                                                                                                        |        737 |    133,987 |      4,162 |     12,985 |    151,134 |
| omnora-prime-v13 (Files)                                                                                                                                |         25 |     24,703 |         43 |        209 |     24,955 |
| omnora-prime-v13\.agents                                                                                                                                |         39 |      1,567 |          0 |        579 |      2,146 |
| omnora-prime-v13\.agents\skills                                                                                                                         |         39 |      1,567 |          0 |        579 |      2,146 |
| omnora-prime-v13\.agents\skills\react-doctor                                                                                                            |          1 |         31 |          0 |         16 |         47 |
| omnora-prime-v13\.agents\skills\supabase                                                                                                                |          3 |         93 |          0 |         56 |        149 |
| omnora-prime-v13\.agents\skills\supabase (Files)                                                                                                        |          1 |         74 |          0 |         39 |        113 |
| omnora-prime-v13\.agents\skills\supabase-postgres-best-practices                                                                                        |         35 |      1,443 |          0 |        507 |      1,950 |
| omnora-prime-v13\.agents\skills\supabase-postgres-best-practices (Files)                                                                                |          1 |         52 |          0 |         13 |         65 |
| omnora-prime-v13\.agents\skills\supabase-postgres-best-practices\references                                                                             |         34 |      1,391 |          0 |        494 |      1,885 |
| omnora-prime-v13\.agents\skills\supabase\assets                                                                                                         |          1 |          9 |          0 |          9 |         18 |
| omnora-prime-v13\.agents\skills\supabase\references                                                                                                     |          1 |         10 |          0 |          8 |         18 |
| omnora-prime-v13\.claude                                                                                                                                |          1 |         31 |          0 |         16 |         47 |
| omnora-prime-v13\.claude\skills                                                                                                                         |          1 |         31 |          0 |         16 |         47 |
| omnora-prime-v13\.claude\skills\react-doctor                                                                                                            |          1 |         31 |          0 |         16 |         47 |
| omnora-prime-v13\.github                                                                                                                                |          2 |        208 |         17 |         44 |        269 |
| omnora-prime-v13\.github\workflows                                                                                                                      |          2 |        208 |         17 |         44 |        269 |
| omnora-prime-v13\.windsurf                                                                                                                              |          1 |         31 |          0 |         16 |         47 |
| omnora-prime-v13\.windsurf\skills                                                                                                                       |          1 |         31 |          0 |         16 |         47 |
| omnora-prime-v13\.windsurf\skills\react-doctor                                                                                                          |          1 |         31 |          0 |         16 |         47 |
| omnora-prime-v13\android                                                                                                                                |         22 |        487 |         55 |         83 |        625 |
| omnora-prime-v13\android (Files)                                                                                                                        |          6 |         85 |         51 |         37 |        173 |
| omnora-prime-v13\android\app                                                                                                                            |         15 |        395 |          4 |         45 |        444 |
| omnora-prime-v13\android\app (Files)                                                                                                                    |          2 |         59 |          3 |         13 |         75 |
| omnora-prime-v13\android\app\src                                                                                                                        |         13 |        336 |          1 |         32 |        369 |
| omnora-prime-v13\android\app\src\androidTest                                                                                                            |          1 |         20 |          1 |          6 |         27 |
| omnora-prime-v13\android\app\src\androidTest\java                                                                                                       |          1 |         20 |          1 |          6 |         27 |
| omnora-prime-v13\android\app\src\androidTest\java\com                                                                                                   |          1 |         20 |          1 |          6 |         27 |
| omnora-prime-v13\android\app\src\androidTest\java\com\getcapacitor                                                                                      |          1 |         20 |          1 |          6 |         27 |
| omnora-prime-v13\android\app\src\androidTest\java\com\getcapacitor\myapp                                                                                |          1 |         20 |          1 |          6 |         27 |
| omnora-prime-v13\android\app\src\main                                                                                                                   |         11 |        302 |          0 |         21 |        323 |
| omnora-prime-v13\android\app\src\main (Files)                                                                                                           |          1 |         40 |          0 |          9 |         49 |
| omnora-prime-v13\android\app\src\main\java                                                                                                              |          1 |          3 |          0 |          3 |          6 |
| omnora-prime-v13\android\app\src\main\java\com                                                                                                          |          1 |          3 |          0 |          3 |          6 |
| omnora-prime-v13\android\app\src\main\java\com\omnoralabs                                                                                               |          1 |          3 |          0 |          3 |          6 |
| omnora-prime-v13\android\app\src\main\java\com\omnoralabs\prime                                                                                         |          1 |          3 |          0 |          3 |          6 |
| omnora-prime-v13\android\app\src\main\res                                                                                                               |          9 |        259 |          0 |          9 |        268 |
| omnora-prime-v13\android\app\src\main\res\drawable                                                                                                      |          1 |        170 |          0 |          1 |        171 |
| omnora-prime-v13\android\app\src\main\res\drawable-v24                                                                                                  |          1 |         34 |          0 |          1 |         35 |
| omnora-prime-v13\android\app\src\main\res\layout                                                                                                        |          1 |         11 |          0 |          2 |         13 |
| omnora-prime-v13\android\app\src\main\res\mipmap-anydpi-v26                                                                                             |          2 |         10 |          0 |          0 |         10 |
| omnora-prime-v13\android\app\src\main\res\values                                                                                                        |          3 |         29 |          0 |          5 |         34 |
| omnora-prime-v13\android\app\src\main\res\xml                                                                                                           |          1 |          5 |          0 |          0 |          5 |
| omnora-prime-v13\android\app\src\test                                                                                                                   |          1 |         14 |          0 |          5 |         19 |
| omnora-prime-v13\android\app\src\test\java                                                                                                              |          1 |         14 |          0 |          5 |         19 |
| omnora-prime-v13\android\app\src\test\java\com                                                                                                          |          1 |         14 |          0 |          5 |         19 |
| omnora-prime-v13\android\app\src\test\java\com\getcapacitor                                                                                             |          1 |         14 |          0 |          5 |         19 |
| omnora-prime-v13\android\app\src\test\java\com\getcapacitor\myapp                                                                                       |          1 |         14 |          0 |          5 |         19 |
| omnora-prime-v13\android\gradle                                                                                                                         |          1 |          7 |          0 |          1 |          8 |
| omnora-prime-v13\android\gradle\wrapper                                                                                                                 |          1 |          7 |          0 |          1 |          8 |
| omnora-prime-v13\dist-electron                                                                                                                          |          3 |      1,126 |        127 |          3 |      1,256 |
| omnora-prime-v13\dist-electron\electron                                                                                                                 |          2 |      1,073 |        125 |          2 |      1,200 |
| omnora-prime-v13\dist-electron\src                                                                                                                      |          1 |         53 |          2 |          1 |         56 |
| omnora-prime-v13\dist-electron\src\lib                                                                                                                  |          1 |         53 |          2 |          1 |         56 |
| omnora-prime-v13\dist-electron\src\lib\security                                                                                                         |          1 |         53 |          2 |          1 |         56 |
| omnora-prime-v13\electron                                                                                                                               |          3 |      1,045 |        125 |        132 |      1,302 |
| omnora-prime-v13\public                                                                                                                                 |          8 |      1,090 |          0 |        106 |      1,196 |
| omnora-prime-v13\public (Files)                                                                                                                         |          7 |         86 |          0 |          8 |         94 |
| omnora-prime-v13\public\admin                                                                                                                           |          1 |      1,004 |          0 |         98 |      1,102 |
| omnora-prime-v13\scripts                                                                                                                                |         29 |      1,328 |         64 |        256 |      1,648 |
| omnora-prime-v13\src                                                                                                                                    |        499 |     94,781 |      3,002 |     10,210 |    107,993 |
| omnora-prime-v13\src (Files)                                                                                                                            |          4 |        142 |          4 |         23 |        169 |
| omnora-prime-v13\src\app                                                                                                                                |        207 |     57,606 |      1,588 |      5,662 |     64,856 |
| omnora-prime-v13\src\app (Files)                                                                                                                        |          7 |      1,966 |         23 |        245 |      2,234 |
| omnora-prime-v13\src\app\(auth)                                                                                                                         |          2 |        275 |          1 |         32 |        308 |
| omnora-prime-v13\src\app\(auth)\login                                                                                                                   |          1 |        139 |          0 |         16 |        155 |
| omnora-prime-v13\src\app\(auth)\signup                                                                                                                  |          1 |        136 |          1 |         16 |        153 |
| omnora-prime-v13\src\app\(hub)                                                                                                                          |          4 |      1,173 |         38 |         95 |      1,306 |
| omnora-prime-v13\src\app\(hub)\clients                                                                                                                  |          2 |        323 |          8 |         29 |        360 |
| omnora-prime-v13\src\app\(hub)\clients\portals                                                                                                          |          2 |        323 |          8 |         29 |        360 |
| omnora-prime-v13\src\app\(hub)\inventory                                                                                                                |          1 |        404 |         18 |         36 |        458 |
| omnora-prime-v13\src\app\(hub)\inventory\transfers                                                                                                      |          1 |        404 |         18 |         36 |        458 |
| omnora-prime-v13\src\app\(hub)\inventory\transfers\inter-branch                                                                                         |          1 |        404 |         18 |         36 |        458 |
| omnora-prime-v13\src\app\(hub)\settings                                                                                                                 |          1 |        446 |         12 |         30 |        488 |
| omnora-prime-v13\src\app\(hub)\settings\branches                                                                                                        |          1 |        446 |         12 |         30 |        488 |
| omnora-prime-v13\src\app\(kitchen)                                                                                                                      |          2 |        173 |          2 |         21 |        196 |
| omnora-prime-v13\src\app\(kitchen) (Files)                                                                                                              |          1 |         21 |          1 |          7 |         29 |
| omnora-prime-v13\src\app\(kitchen)\live                                                                                                                 |          1 |        152 |          1 |         14 |        167 |
| omnora-prime-v13\src\app\(logistics)                                                                                                                    |          2 |        271 |          2 |         28 |        301 |
| omnora-prime-v13\src\app\(logistics) (Files)                                                                                                            |          1 |         21 |          1 |          7 |         29 |
| omnora-prime-v13\src\app\(logistics)\shipments                                                                                                          |          1 |        250 |          1 |         21 |        272 |
| omnora-prime-v13\src\app\(medical)                                                                                                                      |          3 |        414 |          4 |         45 |        463 |
| omnora-prime-v13\src\app\(medical) (Files)                                                                                                              |          1 |         21 |          1 |          7 |         29 |
| omnora-prime-v13\src\app\(medical)\cold-chain                                                                                                           |          1 |        159 |          2 |         18 |        179 |
| omnora-prime-v13\src\app\(medical)\expiry                                                                                                               |          1 |        234 |          1 |         20 |        255 |
| omnora-prime-v13\src\app\(onboarding)                                                                                                                   |          2 |        350 |         16 |         49 |        415 |
| omnora-prime-v13\src\app\(onboarding)\license                                                                                                           |          2 |        350 |         16 |         49 |        415 |
| omnora-prime-v13\src\app\[adminPath]                                                                                                                    |          8 |      1,698 |         65 |        162 |      1,925 |
| omnora-prime-v13\src\app\[adminPath]\dashboard                                                                                                          |          2 |        749 |         32 |         60 |        841 |
| omnora-prime-v13\src\app\[adminPath]\licenses                                                                                                           |          2 |        423 |         16 |         43 |        482 |
| omnora-prime-v13\src\app\[adminPath]\login                                                                                                              |          1 |        118 |          1 |          9 |        128 |
| omnora-prime-v13\src\app\[adminPath]\payments                                                                                                           |          2 |        226 |          9 |         28 |        263 |
| omnora-prime-v13\src\app\[adminPath]\signals                                                                                                            |          1 |        182 |          7 |         22 |        211 |
| omnora-prime-v13\src\app\about                                                                                                                          |          2 |        673 |         16 |         64 |        753 |
| omnora-prime-v13\src\app\analytics                                                                                                                      |          1 |        342 |         16 |         31 |        389 |
| omnora-prime-v13\src\app\api                                                                                                                            |         32 |      2,663 |        110 |        434 |      3,207 |
| omnora-prime-v13\src\app\api\admin                                                                                                                      |          4 |        191 |          9 |         32 |        232 |
| omnora-prime-v13\src\app\api\admin\activation-logs                                                                                                      |          1 |         38 |          0 |          6 |         44 |
| omnora-prime-v13\src\app\api\admin\login                                                                                                                |          1 |        114 |          9 |         18 |        141 |
| omnora-prime-v13\src\app\api\admin\logout                                                                                                               |          1 |          8 |          0 |          2 |         10 |
| omnora-prime-v13\src\app\api\admin\logs                                                                                                                 |          1 |         31 |          0 |          6 |         37 |
| omnora-prime-v13\src\app\api\cron                                                                                                                       |          2 |        159 |         15 |         36 |        210 |
| omnora-prime-v13\src\app\api\cron\daily-summary                                                                                                         |          1 |         47 |          5 |         13 |         65 |
| omnora-prime-v13\src\app\api\cron\recurring-invoices                                                                                                    |          1 |        112 |         10 |         23 |        145 |
| omnora-prime-v13\src\app\api\diagnostics                                                                                                                |          1 |         67 |          5 |         11 |         83 |
| omnora-prime-v13\src\app\api\docs                                                                                                                       |          1 |        705 |          0 |         54 |        759 |
| omnora-prime-v13\src\app\api\download                                                                                                                   |          1 |         40 |          5 |         13 |         58 |
| omnora-prime-v13\src\app\api\heartbeat                                                                                                                  |          1 |         23 |          0 |          6 |         29 |
| omnora-prime-v13\src\app\api\hub                                                                                                                        |          3 |        124 |          3 |         22 |        149 |
| omnora-prime-v13\src\app\api\hub\devices                                                                                                                |          2 |         89 |          3 |         14 |        106 |
| omnora-prime-v13\src\app\api\hub\devices (Files)                                                                                                        |          1 |         30 |          0 |          5 |         35 |
| omnora-prime-v13\src\app\api\hub\devices\revoke                                                                                                         |          1 |         59 |          3 |          9 |         71 |
| omnora-prime-v13\src\app\api\hub\info                                                                                                                   |          1 |         35 |          0 |          8 |         43 |
| omnora-prime-v13\src\app\api\internal                                                                                                                   |          2 |        187 |          4 |         34 |        225 |
| omnora-prime-v13\src\app\api\internal\backup                                                                                                            |          1 |        148 |          4 |         28 |        180 |
| omnora-prime-v13\src\app\api\internal\sync                                                                                                              |          1 |         39 |          0 |          6 |         45 |
