"filename", "language", "JavaScript", "PowerShell", "MS SQL", "TypeScript", "TypeScript JSX", "JSON", "YAML", "comment", "blank", "total"
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\dist-electron\electron\main.js", "JavaScript", 190, 0, 0, 0, 0, 0, 0, 11, 0, 201
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\dist-electron\electron\preload.js", "JavaScript", 31, 0, 0, 0, 0, 0, 0, 12, 0, 43
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\dist-electron\electron\services\mediamtxService.js", "JavaScript", 152, 0, 0, 0, 0, 0, 0, 13, 6, 171
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\dist-electron\electron\services\onvifService.js", "JavaScript", 326, 0, 0, 0, 0, 0, 0, 31, 1, 358
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\electron-builder.yml", "YAML", 0, 0, 0, 0, 0, 0, 3, 3, 1, 7
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\electron\main.ts", "TypeScript", 0, 0, 0, 299, 0, 0, 0, 16, 38, 353
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\electron\preload.ts", "TypeScript", 0, 0, 0, 51, 0, 0, 0, 12, 11, 74
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\electron\services\mediamtxService.ts", "TypeScript", 0, 0, 0, 157, 0, 0, 0, 16, 39, 212
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\electron\services\onvifService.ts", "TypeScript", 0, 0, 0, 323, 0, 0, 0, 31, 59, 413
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\package-lock.json", "JSON", 0, 0, 0, 0, 0, 251, 0, 0, 0, 251
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\package.json", "JSON", 0, 0, 0, 0, 0, 5, 0, 0, 0, 5
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\scripts\build-electron.mjs", "JavaScript", 74, 0, 0, 0, 0, 0, 0, 13, 13, 100
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\scripts\build-static.mjs", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 1, 2, 13
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\scripts\check-db-accounts.js", "JavaScript", 36, 0, 0, 0, 0, 0, 0, 0, 10, 46
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\scripts\download-mediamtx.ps1", "PowerShell", 0, 18, 0, 0, 0, 0, 0, 1, 6, 25
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\scripts\find-rpcs.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 1, 4, 20
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\scripts\force-seed-accounts.js", "JavaScript", 33, 0, 0, 0, 0, 0, 0, 1, 10, 44
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\scripts\inspect-db-function.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 3, 8, 29
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\scripts\migrate-supabase.js", "JavaScript", 28, 0, 0, 0, 0, 0, 0, 0, 6, 34
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\scripts\read-last-prompt.js", "JavaScript", 34, 0, 0, 0, 0, 0, 0, 2, 9, 45
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\scripts\release.ps1", "PowerShell", 0, 43, 0, 0, 0, 0, 0, 9, 10, 62
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\scripts\search-found-step.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 0, 7, 27
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\scripts\search-history.js", "JavaScript", 32, 0, 0, 0, 0, 0, 0, 1, 7, 40
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\scripts\seed-accounts-manually.js", "JavaScript", 68, 0, 0, 0, 0, 0, 0, 6, 12, 86
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\scripts\test-insert-accounts.js", "JavaScript", 26, 0, 0, 0, 0, 0, 0, 0, 7, 33
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\scripts\verify-build.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 3
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\(auth)\login\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 81, 0, 0, 3, 2, 86
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\(auth)\signup\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 43, 0, 0, 0, 2, 45
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\(hub)\settings\branches\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 7, 0, 0, -1, 0, 6
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\(medical)\expiry\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 9, 0, 0, 1, 1, 11
