Date : 2026-07-24 14:59:51
Directory : c:\Users\omnora\OneDrive\Desktop\new_system
Total : 112 files,  10028 codes, 492 comments, 1023 blanks, all 11543 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| TypeScript JSX |         64 |      6,754 |        255 |        535 |      7,544 |
| TypeScript     |         24 |      1,747 |        101 |        332 |      2,180 |
| JavaScript     |         17 |      1,096 |         95 |        102 |      1,293 |
| JSON           |          2 |        256 |          0 |          0 |        256 |
| MS SQL         |          2 |        111 |         28 |         37 |        176 |
| PowerShell     |          2 |         61 |         10 |         16 |         87 |
| YAML           |          1 |          3 |          3 |          1 |          7 |
+----------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                  | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                     |        112 |     10,028 |        492 |      1,023 |     11,543 |
| omnora-prime-v13                                                                                                      |        112 |     10,028 |        492 |      1,023 |     11,543 |
| omnora-prime-v13 (Files)                                                                                              |          3 |        259 |          3 |          1 |        263 |
| omnora-prime-v13\dist-electron                                                                                        |          4 |        699 |         67 |          7 |        773 |
| omnora-prime-v13\dist-electron\electron                                                                               |          4 |        699 |         67 |          7 |        773 |
| omnora-prime-v13\dist-electron\electron (Files)                                                                       |          2 |        221 |         23 |          0 |        244 |
| omnora-prime-v13\dist-electron\electron\services                                                                      |          2 |        478 |         44 |          7 |        529 |
| omnora-prime-v13\electron                                                                                             |          4 |        830 |         75 |        147 |      1,052 |
| omnora-prime-v13\electron (Files)                                                                                     |          2 |        350 |         28 |         49 |        427 |
| omnora-prime-v13\electron\services                                                                                    |          2 |        480 |         47 |         98 |        625 |
| omnora-prime-v13\scripts                                                                                              |         15 |        458 |         38 |        111 |        607 |
| omnora-prime-v13\src                                                                                                  |         85 |      7,674 |        281 |        721 |      8,676 |
| omnora-prime-v13\src\app                                                                                              |         68 |      6,220 |        227 |        550 |      6,997 |
| omnora-prime-v13\src\app (Files)                                                                                      |          4 |        642 |         35 |         35 |        712 |
| omnora-prime-v13\src\app\(auth)                                                                                       |          2 |        124 |          3 |          4 |        131 |
| omnora-prime-v13\src\app\(auth)\login                                                                                 |          1 |         81 |          3 |          2 |         86 |
| omnora-prime-v13\src\app\(auth)\signup                                                                                |          1 |         43 |          0 |          2 |         45 |
| omnora-prime-v13\src\app\(hub)                                                                                        |          1 |          7 |         -1 |          0 |          6 |
| omnora-prime-v13\src\app\(hub)\settings                                                                               |          1 |          7 |         -1 |          0 |          6 |
| omnora-prime-v13\src\app\(hub)\settings\branches                                                                      |          1 |          7 |         -1 |          0 |          6 |
| omnora-prime-v13\src\app\(medical)                                                                                    |          1 |          9 |          1 |          1 |         11 |
| omnora-prime-v13\src\app\(medical)\expiry                                                                             |          1 |          9 |          1 |          1 |         11 |
| omnora-prime-v13\src\app\(onboarding)                                                                                 |          1 |          4 |          0 |          0 |          4 |
| omnora-prime-v13\src\app\(onboarding)\license                                                                         |          1 |          4 |          0 |          0 |          4 |
| omnora-prime-v13\src\app\[adminPath]                                                                                  |          4 |         41 |          6 |         20 |         67 |
| omnora-prime-v13\src\app\[adminPath]\dashboard                                                                        |          1 |         12 |          4 |          6 |         22 |
| omnora-prime-v13\src\app\[adminPath]\licenses                                                                         |          1 |         12 |          1 |          6 |         19 |
| omnora-prime-v13\src\app\[adminPath]\payments                                                                         |          1 |         12 |          1 |          6 |         19 |
| omnora-prime-v13\src\app\[adminPath]\tenants                                                                          |          1 |          5 |          0 |          2 |          7 |
| omnora-prime-v13\src\app\api                                                                                          |          3 |         65 |          8 |         10 |         83 |
| omnora-prime-v13\src\app\api\admin                                                                                    |          1 |          7 |          0 |          2 |          9 |
| omnora-prime-v13\src\app\api\admin\logout                                                                             |          1 |          7 |          0 |          2 |          9 |
| omnora-prime-v13\src\app\api\hub                                                                                      |          2 |         58 |          8 |          8 |         74 |
| omnora-prime-v13\src\app\api\hub\info                                                                                 |          1 |          5 |          0 |          0 |          5 |
| omnora-prime-v13\src\app\api\hub\tunnel-status                                                                        |          1 |         53 |          8 |          8 |         69 |
| omnora-prime-v13\src\app\artisans                                                                                     |          1 |          3 |          0 |          2 |          5 |
| omnora-prime-v13\src\app\batches                                                                                      |          1 |          3 |          0 |          2 |          5 |
| omnora-prime-v13\src\app\blog                                                                                         |          9 |        367 |         11 |        108 |        486 |
| omnora-prime-v13\src\app\blog (Files)                                                                                 |          1 |         95 |          7 |          9 |        111 |
| omnora-prime-v13\src\app\blog\[slug]                                                                                  |          1 |        -11 |          4 |         -8 |        -15 |
| omnora-prime-v13\src\app\blog\posts                                                                                   |          7 |        283 |          0 |        107 |        390 |
| omnora-prime-v13\src\app\cctv                                                                                         |          1 |       -442 |        -20 |        -31 |       -493 |
| omnora-prime-v13\src\app\compare                                                                                      |          3 |        388 |         13 |         33 |        434 |
| omnora-prime-v13\src\app\compare\vs-marg-erp                                                                          |          1 |        110 |          4 |         10 |        124 |
| omnora-prime-v13\src\app\compare\vs-tallyprime                                                                        |          1 |        167 |          5 |         13 |        185 |
| omnora-prime-v13\src\app\compare\vs-vyapar                                                                            |          1 |        111 |          4 |         10 |        125 |
| omnora-prime-v13\src\app\compliance                                                                                   |          1 |        -17 |          0 |         -5 |        -22 |
| omnora-prime-v13\src\app\dashboard                                                                                    |          1 |         90 |          2 |          8 |        100 |
| omnora-prime-v13\src\app\dealers                                                                                      |          1 |          3 |          0 |          2 |          5 |
| omnora-prime-v13\src\app\dispatch                                                                                     |          1 |         29 |          0 |          0 |         29 |
| omnora-prime-v13\src\app\features                                                                                     |          1 |        214 |          8 |         17 |        239 |
| omnora-prime-v13\src\app\features\multi-branch                                                                        |          1 |        214 |          8 |         17 |        239 |
| omnora-prime-v13\src\app\fulfillment                                                                                  |          1 |          3 |          0 |          2 |          5 |
| omnora-prime-v13\src\app\industries                                                                                   |          4 |      1,135 |         24 |         61 |      1,220 |
| omnora-prime-v13\src\app\industries\garment                                                                           |          1 |        270 |          6 |         15 |        291 |
| omnora-prime-v13\src\app\industries\medical                                                                           |          1 |        269 |          6 |         15 |        290 |
| omnora-prime-v13\src\app\industries\rice-mill                                                                         |          1 |        325 |          6 |         16 |        347 |
| omnora-prime-v13\src\app\industries\textile                                                                           |          1 |        271 |          6 |         15 |        292 |
| omnora-prime-v13\src\app\inventory                                                                                    |          1 |        237 |          6 |         20 |        263 |
| omnora-prime-v13\src\app\invoices                                                                                     |          2 |         74 |          2 |          3 |         79 |
| omnora-prime-v13\src\app\invoices\[id]                                                                                |          1 |         53 |          0 |         -1 |         52 |
| omnora-prime-v13\src\app\invoices\new                                                                                 |          1 |         21 |          2 |          4 |         27 |
| omnora-prime-v13\src\app\karigars                                                                                     |          1 |          9 |          0 |          0 |          9 |
| omnora-prime-v13\src\app\ledger                                                                                       |          1 |          3 |          0 |          1 |          4 |
| omnora-prime-v13\src\app\og                                                                                           |          1 |        107 |          6 |          8 |        121 |
| omnora-prime-v13\src\app\pairing                                                                                      |          1 |        106 |          2 |          9 |        117 |
| omnora-prime-v13\src\app\parties                                                                                      |          2 |         69 |          0 |          6 |         75 |
| omnora-prime-v13\src\app\parties (Files)                                                                              |          1 |          1 |          0 |          0 |          1 |
| omnora-prime-v13\src\app\parties\[partyId]                                                                            |          1 |         68 |          0 |          6 |         74 |
| omnora-prime-v13\src\app\pos                                                                                          |          1 |        610 |         32 |         23 |        665 |
| omnora-prime-v13\src\app\pricing                                                                                      |          1 |        -24 |         -7 |         -1 |        -32 |
| omnora-prime-v13\src\app\production                                                                                   |          1 |        509 |         14 |         46 |        569 |
| omnora-prime-v13\src\app\production\grid                                                                              |          1 |        509 |         14 |         46 |        569 |
| omnora-prime-v13\src\app\purchase                                                                                     |          1 |        -22 |          0 |         -5 |        -27 |
| omnora-prime-v13\src\app\sales                                                                                        |          1 |        562 |          9 |         52 |        623 |
| omnora-prime-v13\src\app\settings                                                                                     |          7 |        151 |         11 |         -2 |        160 |
| omnora-prime-v13\src\app\settings (Files)                                                                             |          1 |          2 |          0 |          0 |          2 |
| omnora-prime-v13\src\app\settings\branches                                                                            |          1 |       -424 |         -7 |        -30 |       -461 |
| omnora-prime-v13\src\app\settings\devices                                                                             |          1 |         77 |          5 |          3 |         85 |
| omnora-prime-v13\src\app\settings\localization                                                                        |          1 |         -1 |          2 |         -1 |          0 |
| omnora-prime-v13\src\app\settings\opening-balances                                                                    |          1 |        262 |          7 |         21 |        290 |
| omnora-prime-v13\src\app\settings\updates                                                                             |          1 |        217 |          4 |          9 |        230 |
| omnora-prime-v13\src\app\settings\whatsapp                                                                            |          1 |         18 |          0 |         -4 |         14 |
| omnora-prime-v13\src\app\technology                                                                                   |          1 |        236 |         14 |         24 |        274 |
| omnora-prime-v13\src\app\test-supabase                                                                                |          1 |          3 |          0 |          2 |          5 |
| omnora-prime-v13\src\app\weight-entry                                                                                 |          1 |        648 |         40 |         77 |        765 |
| omnora-prime-v13\src\app\who-is-it-for                                                                                |          1 |        257 |          8 |         16 |        281 |
| omnora-prime-v13\src\app\workflows                                                                                    |          1 |         14 |          0 |          1 |         15 |
| omnora-prime-v13\src\app\workforce                                                                                    |          1 |          3 |          0 |          1 |          4 |
| omnora-prime-v13\src\components                                                                                       |          8 |      1,037 |         37 |        109 |      1,183 |
| omnora-prime-v13\src\components (Files)                                                                               |          1 |         35 |          1 |          5 |         41 |
| omnora-prime-v13\src\components\cctv                                                                                  |          3 |        956 |         38 |         89 |      1,083 |
| omnora-prime-v13\src\components\shell                                                                                 |          4 |         46 |         -2 |         15 |         59 |
| omnora-prime-v13\src\hooks                                                                                            |          1 |          1 |          0 |          0 |          1 |
| omnora-prime-v13\src\lib                                                                                              |          6 |        326 |         13 |         48 |        387 |
