"filename", "language", "TypeScript", "TypeScript JSX", "JavaScript", "JSON", "comment", "blank", "total"
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\dist-electron\electron\main.js", "JavaScript", 0, 0, 58, 0, 5, 0, 63
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\dist-electron\electron\preload.js", "JavaScript", 0, 0, 1, 0, 0, 0, 1
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\electron\main.ts", "TypeScript", 156, 0, 0, 0, 5, 31, 192
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\electron\preload.ts", "TypeScript", 65, 0, 0, 0, 0, 0, 65
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\electron\store.ts", "TypeScript", 178, 0, 0, 0, 12, 35, 225
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\package-lock.json", "JSON", 0, 0, 0, 283, 0, 0, 283
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\package.json", "JSON", 0, 0, 0, 2, 0, 0, 2
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\scripts\create-user-license.js", "JavaScript", 0, 0, 23, 0, 0, 5, 28
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\(auth)\login\page.tsx", "TypeScript JSX", 0, 2, 0, 0, 0, 0, 2
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\(onboarding)\license\page.tsx", "TypeScript JSX", 0, 4, 0, 0, 0, 0, 4
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\about\page.tsx", "TypeScript JSX", 0, 4, 0, 0, 0, 0, 4
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\api\dashboard\kpis\route.ts", "TypeScript", 148, 0, 0, 0, 17, 25, 190
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\blog\[slug]\page.tsx", "TypeScript JSX", 0, 2, 0, 0, 0, 0, 2
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\dashboard\page.tsx", "TypeScript JSX", 0, -114, 0, 0, -15, -13, -142
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\inventory\new\page.tsx", "TypeScript JSX", 0, 241, 0, 0, 0, 23, 264
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\inventory\page.tsx", "TypeScript JSX", 0, 24, 0, 0, 2, 4, 30
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\invoices\[id]\page.tsx", "TypeScript JSX", 0, 13, 0, 0, 0, 0, 13
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\invoices\new\page.tsx", "TypeScript JSX", 0, 10, 0, 0, 0, 1, 11
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\invoices\recurring\new\page.tsx", "TypeScript JSX", 0, 22, 0, 0, 0, 3, 25
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\karigars\new\page.tsx", "TypeScript JSX", 0, 247, 0, 0, 1, 25, 273
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\layout.tsx", "TypeScript JSX", 0, 8, 0, 0, 0, 0, 8
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\lock\page.tsx", "TypeScript JSX", 0, 265, 0, 0, 12, 36, 313
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\parties\new\page.tsx", "TypeScript JSX", 0, 205, 0, 0, 0, 22, 227
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\pos\page.tsx", "TypeScript JSX", 0, -17, 0, 0, -4, -2, -23
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\production\grid\page.tsx", "TypeScript JSX", 0, 15, 0, 0, 4, 5, 24
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\promises\page.tsx", "TypeScript JSX", 0, 12, 0, 0, 0, 3, 15
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\purchase\new\page.tsx", "TypeScript JSX", 0, 19, 0, 0, 0, 2, 21
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\settings\general\page.tsx", "TypeScript JSX", 0, 204, 0, 0, 8, 21, 233
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\settings\page.tsx", "TypeScript JSX", 0, 37, 0, 0, 0, 3, 40
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\settings\security\page.tsx", "TypeScript JSX", 0, 225, 0, 0, 7, 23, 255
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\weight-entry\page.tsx", "TypeScript JSX", 0, 3, 0, 0, 0, 0, 3
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\components\DraftRecoveryBanner.tsx", "TypeScript JSX", 0, 65, 0, 0, 0, 7, 72
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\components\shell\AppShell.tsx", "TypeScript JSX", 0, -2, 0, 0, 0, 0, -2
