"filename", "language", "TypeScript", "CSS", "TypeScript JSX", "JavaScript", "comment", "blank", "total"
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\dist-electron\electron\bridge\rbacEngine.js", "JavaScript", 0, 0, 0, 204, 2, 1, 207
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\dist-electron\electron\main.js", "JavaScript", 0, 0, 0, 363, 41, 0, 404
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\dist-electron\electron\preload.js", "JavaScript", 0, 0, 0, 60, 4, 0, 64
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\dist-electron\electron\services\hwid.js", "JavaScript", 0, 0, 0, 179, 9, 1, 189
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\dist-electron\electron\services\licenseVerifier.js", "JavaScript", 0, 0, 0, 140, 16, 1, 157
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\dist-electron\electron\services\tierEngine.js", "JavaScript", 0, 0, 0, 214, 23, 1, 238
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\dist-electron\electron\services\trialEngine.js", "JavaScript", 0, 0, 0, 190, 8, 1, 199
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\dist-electron\electron\store.js", "JavaScript", 0, 0, 0, 283, 14, 1, 298
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\electron\bridge\rbacEngine.ts", "TypeScript", 228, 0, 0, 0, 3, 17, 248
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\electron\main.ts", "TypeScript", 349, 0, 0, 0, 39, 58, 446
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\electron\preload.ts", "TypeScript", 28, 0, 0, 0, 4, 4, 36
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\electron\services\hwid.ts", "TypeScript", 149, 0, 0, 0, 10, 26, 185
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\electron\services\licenseVerifier.ts", "TypeScript", 113, 0, 0, 0, 17, 26, 156
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\electron\services\tierEngine.ts", "TypeScript", 227, 0, 0, 0, 25, 27, 279
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\electron\services\trialEngine.ts", "TypeScript", 166, 0, 0, 0, 8, 36, 210
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\electron\store.ts", "TypeScript", 64, 0, 0, 0, 12, 23, 99
